2025-06-08 19:48:04 DEBUG TestNG:82 - suiteXmlPath: "C:\Users\Madhukar Pandey\git\repository3\OpenCartV2.0\test-output\testng-failed.xml"
2025-06-08 19:48:04 INFO  Utils:112 - [TestNG] Running:
  C:\Users\Madhukar Pandey\git\repository3\OpenCartV2.0\test-output\testng-failed.xml

2025-06-08 19:48:11 INFO  TC001_AccountRegistrationTest:18 - ****--- Starting TC001_AccountRegistrationTest ---****
2025-06-08 19:48:11 INFO  TC001_AccountRegistrationTest:26 - ****--- Clicked on MyAccount link ---****
2025-06-08 19:48:12 INFO  TC001_AccountRegistrationTest:30 - ****--- Clicked on Register link ---****
2025-06-08 19:48:12 INFO  TC001_AccountRegistrationTest:34 - ****--- Providing Customer Details ---****
2025-06-08 19:48:16 INFO  TC001_AccountRegistrationTest:55 - Confirmation message received: Your Account Has Been Created!
2025-06-08 19:48:16 INFO  TC001_AccountRegistrationTest:56 - TC001_AccountRegistrationTest Passed
2025-06-08 19:48:16 INFO  TC001_AccountRegistrationTest:74 - ****---Finished TC001_AccountRegistrationTest---****
2025-06-08 19:48:19 INFO  TC001_AccountRegistrationTest:18 - ****--- Starting TC001_AccountRegistrationTest ---****
2025-06-08 19:48:19 INFO  TC001_AccountRegistrationTest:26 - ****--- Clicked on MyAccount link ---****
2025-06-08 19:48:20 INFO  TC001_AccountRegistrationTest:30 - ****--- Clicked on Register link ---****
2025-06-08 19:48:20 INFO  TC001_AccountRegistrationTest:34 - ****--- Providing Customer Details ---****
2025-06-08 19:48:22 INFO  TC001_AccountRegistrationTest:55 - Confirmation message received: Your Account Has Been Created!
2025-06-08 19:48:22 INFO  TC001_AccountRegistrationTest:56 - TC001_AccountRegistrationTest Passed
2025-06-08 19:48:22 INFO  TC001_AccountRegistrationTest:74 - ****---Finished TC001_AccountRegistrationTest---****
